PeakID (cmd=annotatePeaks.pl 07_macs2_peaks_calling/cKO_peaks.narrowPeak mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
cKO_peak_7086	chr4	94556261	94556940	+	490	NA	exon (NM_026368, exon 1 of 6)	exon (NM_026368, exon 1 of 6)	196	NM_026368	67770	Mm.35170	NM_026368	ENSMUSG00000028578	Caap1	5830433M19Rik|AI536248|CAAP	caspase activity and apoptosis inhibitor 1	protein-coding
cKO_peak_7033	chr4	62519535	62520326	+	490	NA	promoter-TSS (NM_001276446)	promoter-TSS (NM_001276446)	-21	NM_001276446	17025	Mm.6988	NM_008525	ENSMUSG00000028393	Alad	ALADH|Lv	aminolevulinate, delta-, dehydratase	protein-coding
cKO_peak_6379	chr3	51339647	51342173	+	490	NA	promoter-TSS (NM_001291059)	promoter-TSS (NM_001291059)	-266	NM_001291059	69257	Mm.131038	NM_023502	ENSMUSG00000037174	Elf2	2610036A20Rik|A230104O07Rik|AW111824|BB183398|EU32|NERF|NERF-1A|NERF-1B|NERF-2	E74-like factor 2	protein-coding
cKO_peak_7505	chr4	151933706	151934438	+	490	NA	intron (NM_172704, intron 1 of 15)	CpG	352	NM_172704	230935	Mm.21353	NM_172704	ENSMUSG00000039768	Dnajc11	E030019A03Rik	DnaJ heat shock protein family (Hsp40) member C11	protein-coding
cKO_peak_10500	chr9	65345997	65347010	+	478	NA	exon (NM_016688, exon 1 of 5)	exon (NM_016688, exon 1 of 5)	435	NM_016688	50996	Mm.29193	NM_016688	ENSMUSG00000041837	Pdcd7	C80112|ES18	programmed cell death 7	protein-coding
cKO_peak_8403	chr6	38433950	38434936	+	478	NA	exon (NM_177185, exon 1 of 17)	exon (NM_177185, exon 1 of 17)	518	NM_177185	320538	Mm.302831	NM_177185	ENSMUSG00000038538	Ubn2	2900060J04Rik|6030408G03Rik|BC060116|D130059P03Rik|mKIAA2030	ubinuclein 2	protein-coding
cKO_peak_6113	chr2	156179312	156180152	+	478	NA	promoter-TSS (NM_001291115)	promoter-TSS (NM_001291115)	-152	NM_001291115	170791	Mm.392436	NM_133242	ENSMUSG00000027620	Rbm39	1500012C14Rik|2310040E03Rik|B330012G18Rik|C79248|R75070|Rnpc2|caper	RNA binding motif protein 39	protein-coding
cKO_peak_2266	chr12	69371604	69372906	+	474	NA	intron (NM_007481, intron 1 of 1)	CpG	105	NM_007481	11845	Mm.27308	NM_007481	ENSMUSG00000044147	Arf6	AI788669|AW496366	ADP-ribosylation factor 6	protein-coding
cKO_peak_6245	chr2	180920375	180921012	+	468	NA	exon (NM_173761, exon 1 of 5)	exon (NM_173761, exon 1 of 5)	243	NM_173761	228994	Mm.30205	NM_173761	ENSMUSG00000038848	Ythdf1	2210410K23Rik|8030473O16	YTH N6-methyladenosine RNA binding protein 1	protein-coding
cKO_peak_4588	chr17	66076111	66077544	+	467	NA	intron (NM_001025572, intron 1 of 12)	CpG	219	NM_001025572	106585	Mm.34706	NM_001025572	ENSMUSG00000034647	Ankrd12	2900001A12Rik|AI447928|ANCO-2|AV347965|GAC-1|mKIAA0874	ankyrin repeat domain 12	protein-coding
cKO_peak_4057	chr16	44173187	44173859	+	467	NA	intron (NM_001029889, intron 1 of 7)	CpG	126	NM_001029889	207806	Mm.310566	NM_001029889	ENSMUSG00000068284	Usf3	5530400K22Rik|Gm1779|Gm608|mKIAA2018	upstream transcription factor family member 3	protein-coding
cKO_peak_1931	chr11	104468645	104469847	+	467	NA	promoter-TSS (NM_001359634)	promoter-TSS (NM_001359634)	-385	NM_001359634	76719	Mm.136418	NM_001081045	ENSMUSG00000018412	Kansl1	1700081L11Rik|9430041J06Rik|mKIAA1267	KAT8 regulatory NSL complex subunit 1	protein-coding
cKO_peak_7108	chr4	101264523	101265346	+	467	NA	intron (NM_013567, intron 1 of 22)	CpG	289	NM_013567	16451	Mm.289657	NM_013567	ENSMUSG00000028530	Jak1	AA960307|BAP004|C130039L05Rik	Janus kinase 1	protein-coding
cKO_peak_5639	chr2	52857576	52859039	+	467	NA	intron (NM_172409, intron 1 of 26)	CpG	439	NM_172409	71409	Mm.394427	NM_172409	ENSMUSG00000036053	Fmnl2	5430425K04Rik|Man	formin-like 2	protein-coding
cKO_peak_2776	chr13	59822576	59823439	+	467	NA	intron (NM_153538, intron 1 of 27)	CpG	140	NM_153538	214290	Mm.233082	NM_153538	ENSMUSG00000035248	Tut7	6030448M23Rik|AA420405|Tent3b|Zcchc6	terminal uridylyl transferase 7	protein-coding
cKO_peak_5898	chr2	120849850	120850438	+	467	NA	promoter-TSS (NR_038350)	promoter-TSS (NR_038350)	274	NM_001024856	140810	Mm.275698	NM_080788	ENSMUSG00000090100	Ttbk2	2610507N02Rik|AI326283|B930008N24Rik|TTK|Ttbk|Ttbk1|mKIAA0847	tau tubulin kinase 2	protein-coding
cKO_peak_5683	chr2	69861101	69862162	+	455	NA	promoter-TSS (NM_009278)	promoter-TSS (NM_009278)	69	NR_149321	20823	Mm.10508	NM_009278	ENSMUSG00000068882	Ssb	SS-B	Sjogren syndrome antigen B	protein-coding
cKO_peak_1429	chr11	51605842	51606879	+	455	NA	exon (NM_010448, exon 2 of 7)	exon (NM_010448, exon 2 of 7)	521	NM_001048061	15384	Mm.256875	NM_010448	ENSMUSG00000020358	Hnrnpab	3010025C11Rik|CBF-A|Cgbfa|Hnrpab	heterogeneous nuclear ribonucleoprotein A/B	protein-coding
cKO_peak_3336	chr14	101653943	101654671	+	455	NA	intron (NM_016723, intron 2 of 8)	CpG-4702	340	NM_016723	50933	Mm.275970	NM_016723	ENSMUSG00000022111	Uchl3	-	ubiquitin carboxyl-terminal esterase L3 (ubiquitin thiolesterase)	protein-coding
cKO_peak_267	chr1	85793438	85794399	+	455	NA	promoter-TSS (NM_001355047)	promoter-TSS (NM_001355047)	-99	NM_001355047	12283	Mm.26135	NM_133781	ENSMUSG00000036707	Cab39	AA408805|AA960512|C78372|MO25|MO25alpha	calcium binding protein 39	protein-coding
cKO_peak_6938	chr4	43578337	43579221	+	455	NA	promoter-TSS (NM_172692)	promoter-TSS (NM_172692)	44	NM_172866	242406	Mm.259311	NM_172866	ENSMUSG00000028468	Rgp1	1110029E03Rik|AI527196|F730001J03|mKIAA0258	RAB6A GEF compex partner 1	protein-coding
cKO_peak_3122	chr14	45351194	45351750	+	455	NA	5' UTR (NM_019637, exon 1 of 11)	5' UTR (NM_019637, exon 1 of 11)	286	NM_019637	56291	Mm.202561	NM_019637	ENSMUSG00000053205	Styx	0610039A20Rik|hStyxb	serine/threonine/tyrosine interaction protein	protein-coding
cKO_peak_1720	chr11	82781073	82781862	+	455	NA	promoter-TSS (NR_126067)	promoter-TSS (NR_126067)	358	NM_001291247	16882	Mm.277136	NM_010716	ENSMUSG00000020697	Lig3	D11Wsu78e	ligase III, DNA, ATP-dependent	protein-coding
cKO_peak_6243	chr2	180709535	180710740	+	444	NA	promoter-TSS (NM_001291432)	promoter-TSS (NM_001291432)	-89	NM_001289652	76425	Mm.41464	NM_029607	ENSMUSG00000027573	Gid8	2310003C23Rik|4833420G11Rik|AI451474|Twa1	GID complex subunit 8	protein-coding
cKO_peak_7538	chr4	155491074	155492617	+	444	NA	intron (NM_001160017, intron 1 of 10)	CpG	484	NM_008142	14688	Mm.2344	NM_008142	ENSMUSG00000029064	Gnb1	AA409223|C77571|Gnb-1	guanine nucleotide binding protein (G protein), beta 1	protein-coding
cKO_peak_8254	chr5	144100352	144101092	+	444	NA	exon (NM_001081109, exon 1 of 14)	exon (NM_001081109, exon 1 of 14)	361	NM_001081109	231876	Mm.288726	NM_001081109	ENSMUSG00000038970	Lmtk2	2900041G10Rik|A330101P12Rik|BREK|KPI-2|KPI2|aatyk2|cprk	lemur tyrosine kinase 2	protein-coding
cKO_peak_4072	chr16	50429376	50430512	+	444	NA	intron (NM_027444, intron 1 of 16)	(TCC)n|Simple_repeat|Simple_repeat	2445	NM_027444	70508	Mm.28940	NM_027444	ENSMUSG00000022641	Bbx	5530401J07Rik|5730403O13Rik	bobby sox HMG box containing	protein-coding
cKO_peak_5057	chr19	5388148	5388962	+	444	NA	non-coding (NR_033224, exon 1 of 1)	non-coding (NR_033224, exon 1 of 1)	148	NM_016882	20227	Mm.34562	NM_016882	ENSMUSG00000039148	Sart1	U5-110K	squamous cell carcinoma antigen recognized by T cells 1	protein-coding
cKO_peak_1292	chr11	17159213	17160291	+	444	NA	intron (NM_024459, intron 1 of 5)	CpG	454	NM_024459	19058	Mm.41840	NM_024459	ENSMUSG00000033953	Ppp3r1	CaNB1|Cnb1|MCIP1	protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)	protein-coding
cKO_peak_3999	chr16	32078802	32079340	+	442	NA	intron (NM_177326, intron 1 of 14)	CpG	271	NM_177326	224105	Mm.234204	NM_177326	ENSMUSG00000022781	Pak2	5330420P17Rik|A130002K10Rik|AI836325|D16Ertd269e|PAK-2|mKIAA4182	p21 (RAC1) activated kinase 2	protein-coding
cKO_peak_2955	chr13	111488768	111489828	+	436	NA	intron (NM_001361923, intron 1 of 11)	CpG	829	NM_001361924	73274	Mm.57286	NM_028487	ENSMUSG00000032745	Gpbp1	1700034P14Rik|AU019836|D230035M11Rik|Gpbp|mGPBP	GC-rich promoter binding protein 1	protein-coding
cKO_peak_6706	chr3	122618484	122620326	+	436	NA	intron (NM_001114665, intron 1 of 15)	CpG	309	NM_001114665	214459	Mm.209491	NM_153118	ENSMUSG00000039735	Fnbp1l	2610318I01Rik|AW548221|TOCA1|toca-1	formin binding protein 1-like	protein-coding
cKO_peak_4616	chr17	71616005	71616916	+	433	NA	exon (NM_175639, exon 1 of 18)	exon (NM_175639, exon 1 of 18)	245	NM_175639	72515	Mm.257762	NM_175639	ENSMUSG00000041057	Wdr43	2610318G08Rik|AU020887|AV024208|Wrd43|mKIAA0007	WD repeat domain 43	protein-coding
cKO_peak_7769	chr5	50058263	50059261	+	433	NA	exon (NM_133911, exon 1 of 19)	exon (NM_133911, exon 1 of 19)	234	NM_133911	70693	Mm.272974	NM_133911	ENSMUSG00000029090	Adgra3	3830613O22Rik|AU044632|Gpr125|Tem5-like	adhesion G protein-coupled receptor A3	protein-coding
cKO_peak_6178	chr2	165992548	165993345	+	433	NA	intron (NM_008679, intron 1 of 22)	CpG	309	NM_008679	17979	Mm.469663	NM_008679	ENSMUSG00000027678	Ncoa3	2010305B15Rik|AW321064|Actr|Aib1|KAT13B|Rac3|Src3|Tram-1|Tram1|bHLHe42|p/Cip|pCip	nuclear receptor coactivator 3	protein-coding
cKO_peak_567	chr1	177257430	177259047	+	433	NA	Intergenic	CpG	-9471	NM_011785	23797	Mm.235194	NM_011785	ENSMUSG00000019699	Akt3	AI851531|D930002M15Rik|Nmf350	thymoma viral proto-oncogene 3	protein-coding
cKO_peak_3636	chr15	80173261	80174377	+	433	NA	promoter-TSS (NM_010795)	promoter-TSS (NM_010795)	98	NM_010795	17309	Mm.299693	NM_010795	ENSMUSG00000042428	Mgat3	1110038J12Rik|AI848272|GnT-III	mannoside acetylglucosaminyltransferase 3	protein-coding
cKO_peak_167	chr1	58423351	58424059	+	433	NA	intron (NM_001042634, intron 1 of 12)	CpG	383	NM_001042634	12747	Mm.1761	NM_009905	ENSMUSG00000026034	Clk1	STY	CDC-like kinase 1	protein-coding
cKO_peak_2749	chr13	55486981	55488010	+	433	NA	intron (NM_001177371, intron 1 of 14)	CpG	581	NM_001177372	56320	Mm.19016	NM_019813	ENSMUSG00000034675	Dbn1	-	drebrin 1	protein-coding
cKO_peak_1064	chr10	93160823	93161751	+	422	NA	intron (NM_146239, intron 1 of 16)	CpG	411	NM_146239	237459	Mm.217404	NM_146239	ENSMUSG00000020015	Cdk17	6430598J10Rik|Pctk2	cyclin-dependent kinase 17	protein-coding
cKO_peak_10365	chr9	44604040	44605871	+	422	NA	promoter-TSS (NM_001357703)	promoter-TSS (NM_001357703)	63	NM_001357703	13209	Mm.267061	NM_007841	ENSMUSG00000032097	Ddx6	1110001P04Rik|C430015D01Rik|E230023J21Rik|HLR2|mRCK/P54|p54|rck	DEAD (Asp-Glu-Ala-Asp) box polypeptide 6	protein-coding
cKO_peak_4805	chr18	35562218	35563257	+	422	NA	intron (NM_010771, intron 1 of 14)	CpG	579	NM_010771	17184	Mm.215034	NM_010771	ENSMUSG00000037236	Matr3	1110061A14Rik|2810017I02Rik|AI841759|AW555618|D030046F20Rik|mKIAA0723	matrin 3	protein-coding
cKO_peak_3658	chr15	82047038	82047889	+	422	NA	intron (NM_011482, intron 1 of 2)	CpG	135	NM_011482	20826	Mm.299312	NM_011482	ENSMUSG00000063480	Snu13	FA-1|Fta1|Nhp2l1|Ssfa1	SNU13 homolog, small nuclear ribonucleoprotein (U4/U6.U5)	protein-coding
cKO_peak_10013	chr8	104442268	104442985	+	422	NA	intron (NM_001013380, intron 1 of 12)	CpG-14406	421	NM_001013380	234663	Mm.289583	NM_001013380	ENSMUSG00000035770	Dync1li2	AA409702|C920003I06|Dncli2|Dnclic2|LIC2	dynein, cytoplasmic 1 light intermediate chain 2	protein-coding
cKO_peak_1404	chr11	49711964	49712751	+	422	NA	5' UTR (NM_001363356, exon 1 of 12)	5' UTR (NM_001363356, exon 1 of 12)	365	NM_212484	104625	Mm.247113	NM_212484	ENSMUSG00000020362	Cnot6	CCR4	CCR4-NOT transcription complex, subunit 6	protein-coding
cKO_peak_447	chr1	151499894	151500861	+	422	NA	intron (NM_001360844, intron 1 of 8)	CpG	614	NM_001360847	19821	Mm.474038	NM_011277	ENSMUSG00000026484	Rnf2	AI326319|AI450156|AU019207|Ring1B|dinG	ring finger protein 2	protein-coding
cKO_peak_9716	chr8	35494843	35495946	+	422	NA	5' UTR (NM_026067, exon 1 of 7)	5' UTR (NM_026067, exon 1 of 7)	139	NM_026067	67276	Mm.207534	NM_026067	ENSMUSG00000031527	Eri1	3'hexo|3110010F15Rik|Thex1|eri-1	exoribonuclease 1	protein-coding
cKO_peak_630	chr1	189007264	189007897	+	422	NA	exon (NM_001359577, exon 1 of 16)	exon (NM_001359577, exon 1 of 16)	260	NM_001359577	226823	Mm.209880	NM_172650	ENSMUSG00000026608	Kctd3	4930438A20Rik|9330185B06|E330032J19Rik|NY-REN-45	potassium channel tetramerisation domain containing 3	protein-coding
cKO_peak_4580	chr17	63863987	63864681	+	422	NA	intron (NM_001037997, intron 1 of 18)	CpG	353	NM_001037997	14158	Mm.23039	NM_008000	ENSMUSG00000000127	Fer	AV082135|C330004K01Rik|Fert|Fert2	fer (fms/fps related) protein kinase	protein-coding
cKO_peak_4703	chr18	6135381	6136047	+	422	NA	intron (NM_001039692, intron 1 of 18)	CpG	384	NM_001039692	75415	Mm.239675	NM_029277	ENSMUSG00000041225	Arhgap12	2810011M08Rik	Rho GTPase activating protein 12	protein-coding
cKO_peak_4458	chr17	36270970	36271986	+	414	NA	promoter-TSS (NM_001357889)	promoter-TSS (NM_001357889)	-45	NM_178281	79263	Mm.40624	NM_024468	ENSMUSG00000045409	Trim39	1100001D15Rik|E130103K13Rik|RBCC-B30.2|Rnf23|mKIAA4179|tfp	tripartite motif-containing 39	protein-coding
cKO_peak_7282	chr4	127021339	127022733	+	411	NA	non-coding (NR_045010, exon 1 of 12)	non-coding (NR_045010, exon 1 of 12)	735	NM_023603	71514	Mm.257276	NM_023603	ENSMUSG00000028820	Sfpq	1110004P21Rik|2810416M14Rik|5730453G22Rik|9030402K04Rik|AU021830|D4Ertd314e|Gm12940|PSF|REP1	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	protein-coding
cKO_peak_6439	chr3	69004989	69006277	+	411	NA	intron (NM_001356976, intron 1 of 23)	CpG	895	NM_133786	70099	Mm.206841	NM_133786	ENSMUSG00000034349	Smc4	2500002A22Rik|C79747|SMC-4|Smc4l1	structural maintenance of chromosomes 4	protein-coding
cKO_peak_8469	chr6	52713716	52714493	+	411	NA	promoter-TSS (NM_001355596)	promoter-TSS (NM_001355596)	-61	NM_001355596	52440	Mm.389757	NM_025816	ENSMUSG00000004535	Tax1bp1	1200003J11Rik|1700069J21Rik|AA930106|D6Ertd404e|D6Ertd772e|T6bp|TXBP151	Tax1 (human T cell leukemia virus type I) binding protein 1	protein-coding
cKO_peak_1616	chr11	73047852	73048499	+	411	NA	intron (NM_025818, intron 1 of 12)	CpG	308	NM_025818	66874	Mm.41903	NM_025818	ENSMUSG00000020783	Ncbp3	1200014J11Rik|C130061O14Rik|C78393	nuclear cap binding subunit 3	protein-coding
cKO_peak_8372	chr6	30401867	30402415	+	411	NA	exon (NM_029742, exon 1 of 10)	exon (NM_029742, exon 1 of 10)	286	NM_001311087	76788	Mm.277308	NM_029742	ENSMUSG00000029775	Klhdc10	2410127E18Rik|AI593221|mKIAA0265	kelch domain containing 10	protein-coding
cKO_peak_5320	chr19	46761534	46762506	+	411	NA	exon (NM_001102471, exon 1 of 7)	exon (NM_001102471, exon 1 of 7)	411	NM_001102471	94219	Mm.306903	NM_033569	ENSMUSG00000064105	Cnnm2	AU015877|AW048635|Acdp2|Clp2	cyclin M2	protein-coding
cKO_peak_5161	chr19	12794716	12795462	+	411	NA	exon (NM_053009, exon 1 of 11)	exon (NM_053009, exon 1 of 11)	1034	NM_053009	109910	Mm.290924	NM_053009	ENSMUSG00000024695	Zfp91	9130014I08Rik|A530054C17Rik|AL024263|AW545902|Pzf|Zfp-91	zinc finger protein 91	protein-coding
cKO_peak_4504	chr17	46555001	46556088	+	411	NA	exon (NM_020493, exon 1 of 7)	exon (NM_020493, exon 1 of 7)	618	NM_020493	20807	Mm.45044	NM_020493	ENSMUSG00000015605	Srf	AW049942|AW240594	serum response factor	protein-coding
cKO_peak_8091	chr5	124424829	124426127	+	411	NA	5' UTR (NM_001359979, exon 1 of 32)	5' UTR (NM_001359979, exon 1 of 32)	124	NM_001359978	243272	Mm.23879	NM_145631	ENSMUSG00000038095	Sbno1	9330180L10Rik|AI849128|AW557836|BC021875|Sbno|mSno1|sno	strawberry notch 1	protein-coding
cKO_peak_8051	chr5	121711081	121712914	+	411	NA	exon (NM_009125, exon 1 of 25)	exon (NM_009125, exon 1 of 25)	388	NM_009125	20239	Mm.260900	NM_009125	ENSMUSG00000042605	Atxn2	9630045M23Rik|ATX2|AW544490|Sca2	ataxin 2	protein-coding
cKO_peak_1612	chr11	72607190	72608458	+	411	NA	intron (NM_025985, intron 1 of 5)	CpG	563	NM_025985	67128	Mm.458052	NM_025985	ENSMUSG00000020794	Ube2g1	2700059C12Rik|AI256795|AU014992|AW552068|D130023C12Rik	ubiquitin-conjugating enzyme E2G 1	protein-coding
cKO_peak_7327	chr4	132211245	132212100	+	411	NA	intron (NM_145393, intron 1 of 4)	CpG-10406	584	NM_145393	213541	Mm.23998	NM_145393	ENSMUSG00000040025	Ythdf2	9430020E02Rik|HGRG8|NY-REN-2	YTH N6-methyladenosine RNA binding protein 2	protein-coding
cKO_peak_5357	chr19	56821708	56822237	+	411	NA	intron (NM_170757, intron 1 of 15)	CpG	227	NM_170757	213993	Mm.469677	NM_170757	ENSMUSG00000035173	Ccdc186	1810028B20Rik|A630007B06Rik|AI159700|Otg1	coiled-coil domain containing 186	protein-coding
cKO_peak_4223	chr17	12991673	12992685	+	411	NA	promoter-TSS (NM_001113533)	promoter-TSS (NM_001113533)	80	NM_001113533	60532	Mm.275521	NM_175394	ENSMUSG00000060475	Wtap	2810408K05Rik|9430038B09Rik	Wilms tumour 1-associating protein	protein-coding
cKO_peak_7271	chr4	126255388	126256515	+	411	NA	intron (NM_001145970, intron 1 of 16)	CpG	368	NM_001145970	245877	Mm.266716	NM_144941	ENSMUSG00000028849	Map7d1	AV028413|BC019977|Mtap7d1|Parcc1|Rprc1|mKIAA1187	MAP7 domain containing 1	protein-coding
cKO_peak_6103	chr2	155691736	155692344	+	411	NA	intron (NM_001163452, intron 1 of 18)	CpG	344	NM_019828	56407	Mm.234944	NM_019828	ENSMUSG00000038324	Trpc4ap	4833429F06Rik|D2Ertd113e|Trrp4ap|mFLJ00177|truss	transient receptor potential cation channel, subfamily C, member 4 associated protein	protein-coding
cKO_peak_9485	chr7	127776699	127777943	+	411	NA	promoter-TSS (NM_178029)	promoter-TSS (NM_178029)	-68	NM_178029	233904	Mm.435494	NM_010940	ENSMUSG00000042308	Setd1a	BC010250|KMT2F|Nsccn1|mKIAA0339|mNSC1	SET domain containing 1A	protein-coding
cKO_peak_803	chr10	45067121	45067727	+	411	NA	intron (NM_011156, intron 1 of 14)	CpG	208	NM_011156	19072	Mm.37294	NM_011156	ENSMUSG00000019849	Prep	AI047692|AI450383|D10Wsu136e|PE|PEP|Pop	prolyl endopeptidase	protein-coding
cKO_peak_2293	chr12	72760660	72762050	+	411	NA	5' UTR (NM_008910, exon 1 of 6)	5' UTR (NM_008910, exon 1 of 6)	144	NM_008910	19042	Mm.261045	NM_008910	ENSMUSG00000021096	Ppm1a	2310003C21Rik|2900017D14Rik|AI427932|AU017636|MMPa-2|MPPa-1	protein phosphatase 1A, magnesium dependent, alpha isoform	protein-coding
cKO_peak_9257	chr7	81933044	81934597	+	411	NA	intron (NM_013886, intron 1 of 5)	CpG	639	NM_013886	29877	Mm.392934	NM_013886	ENSMUSG00000025104	Hdgfl3	2700022B06Rik|HRP-3|Hdgfrp3	HDGF like 3	protein-coding
cKO_peak_3345	chr14	105176361	105177615	+	410	NA	5' UTR (NM_134077, exon 1 of 21)	5' UTR (NM_134077, exon 1 of 21)	326	NM_134077	74213	Mm.124957	NM_134077	ENSMUSG00000022119	Rbm26	1700009P03Rik|AI447318|C230097K14Rik|C86225|MLZ-393|Pro1777|Se70-2	RNA binding motif protein 26	protein-coding
cKO_peak_865	chr10	62920353	62921130	+	410	NA	5' UTR (NM_175194, exon 1 of 9)	5' UTR (NM_175194, exon 1 of 9)	108	NM_175194	73132	Mm.37457	NM_175194	ENSMUSG00000071253	Slc25a16	3110021G18Rik|GDA|GDC|HGT.1|ML7	solute carrier family 25 (mitochondrial carrier, Graves disease autoantigen), member 16	protein-coding
cKO_peak_10615	chr9	95749700	95750627	+	410	NA	5' UTR (NM_001311123, exon 1 of 12)	5' UTR (NM_001311123, exon 1 of 12)	185	NM_001311123	22063	Mm.149633	NM_011643	ENSMUSG00000032839	Trpc1	Mtrp1|Trp1|Trrp1	transient receptor potential cation channel, subfamily C, member 1	protein-coding
cKO_peak_8733	chr6	120835857	120836645	+	406	NA	promoter-TSS (NM_153516)	promoter-TSS (NM_153516)	21	NM_153516	94044	Mm.27990	NM_153516	ENSMUSG00000009112	Bcl2l13	BCL-RAMBO|E430016C20Rik|Mil-1|Mil1	BCL2-like 13 (apoptosis facilitator)	protein-coding
cKO_peak_8731	chr6	120665417	120667489	+	404	NA	5' UTR (NM_001368706, exon 1 of 19)	5' UTR (NM_001368706, exon 1 of 19)	139	NM_001368706	330409	Mm.333357	NM_001128151	ENSMUSG00000071226	Cecr2	2610101O16Rik|2810409N01Rik|Gtl4	CECR2, histone acetyl-lysine reader	protein-coding
cKO_peak_1224	chr11	3193086	3194301	+	402	NA	promoter-TSS (NM_030207)	promoter-TSS (NM_030207)	-90	NM_030207	78887	Mm.394071	NM_030207	ENSMUSG00000023764	Sfi1	-	Sfi1 homolog, spindle assembly associated (yeast)	protein-coding
cKO_peak_2111	chr12	4476125	4477221	+	400	NA	intron (NM_010881, intron 1 of 22)	intron (NM_010881, intron 1 of 22)	509	NM_010881	17977	Mm.301039	NM_010881	ENSMUSG00000020647	Ncoa1	KAT13A|NCoA-1|NRC-1|SRC-1|SRC-a|SRC1|bHLHe74|mNRC-1	nuclear receptor coactivator 1	protein-coding
cKO_peak_4140	chr16	90283485	90284822	+	400	NA	5' UTR (NM_178923, exon 1 of 20)	5' UTR (NM_178923, exon 1 of 20)	333	NM_001346799	224432	Mm.439811	NM_178923	ENSMUSG00000022983	Scaf4	AA517739|Sfrs15|Sra4|Srsf15	SR-related CTD-associated factor 4	protein-coding
cKO_peak_9432	chr7	123123976	123124652	+	400	NA	5' UTR (NM_144925, exon 1 of 24)	5' UTR (NM_144925, exon 1 of 24)	429	NM_144925	233833	Mm.102305	NM_144925	ENSMUSG00000052707	Tnrc6a	2010321I05Rik|3110054G10Rik|AW557223|CAGH26|D130023A07Rik|GW182|Tnrc6	trinucleotide repeat containing 6a	protein-coding
